call to Robot/MoveD
2.851226 0 265 -45.848910
2.852607 0 265 -45.848910
2.854920 0 265 -45.848910
2.856247 0 265 -45.848910
2.880734 0 265 -45.848910
2.886748 0 265 -45.848910
2.888311 0 265 -45.848910
2.890439 0 265 -45.848910
2.911990 0 265 -45.848910
2.915092 0 265 -45.848910
2.916515 0 265 -45.848910
2.918015 0 265 -45.848910
2.919959 0 265 -45.848910
2.921113 0 265 -45.848910
2.922499 0 265 -45.848910
2.954514 0 265 -45.848910
2.956252 0 265 -45.848910
2.957897 0 265 -45.848910
2.959052 0 265 -45.848910
2.960716 0 265 -45.848910
2.962140 0 265 -45.848910
2.964127 0 265 -45.848910
2.984675 0 265 -45.848910
2.987052 0 265 -45.848910
2.988621 0 265 -45.848910
2.990478 0 265 -45.848910
2.991856 0 265 -45.848910
3.000161 0 265 -45.848910
3.002169 0 265 -45.848910
3.004855 0 265 -45.848910
3.006831 0 265 -45.848910
3.008214 0 265 -45.848910
3.009708 0 265 -45.848910
3.010777 0 265 -45.848910
3.012166 0 265 -45.848910
3.015126 0 265 -45.848910
3.018299 0 265 -45.848910
3.019819 0 265 -45.848910
3.021265 0 265 -45.848910
3.022976 0 265 -45.848910
3.025122 0 265 -45.848910
3.026836 0 265 -45.848910
3.028198 0 265 -45.848910
3.029936 0 265 -45.848910
3.031107 0 265 -45.848910
3.032501 0 265 -45.848910
3.034803 0 265 -45.848910
3.040238 0 265 -45.848910
3.065090 0 265 -45.848910
3.066526 0 265 -45.848910
3.068100 0 265 -45.848910
3.069280 0 265 -45.848910
3.070713 0 265 -45.848910
3.072138 0 265 -45.848910
3.075109 0 265 -45.848910
3.076524 0 265 -45.848910
3.077864 0 265 -45.848910
3.079026 0 265 -45.848910
3.080458 0 265 -45.848910
3.081874 0 265 -45.848910
3.085071 0 265 -45.848910
3.086503 0 265 -45.848910
3.088690 0 265 -45.848910
3.090338 0 265 -45.848910
3.091736 0 265 -45.848910
3.093067 0 265 -45.848910
3.097169 0 265 -45.848910
3.099052 0 265 -45.848910
3.100492 0 265 -45.848910
3.101862 0 265 -45.848910
3.103264 0 265 -45.848910
3.106062 0 265 -45.848910
3.107222 0 265 -45.848910
3.108588 0 265 -45.848910
3.110104 0 265 -45.848910
3.111232 0 265 -45.848910
3.112615 0 265 -45.848910
3.114932 0 265 -45.848910
3.118140 0 265 -45.848910
3.119320 0 265 -45.848910
3.120747 0 265 -45.848910
3.122143 0 265 -45.848910
3.124730 0 265 -45.848910
3.126613 0 265 -45.848910
3.127998 0 265 -45.848910
3.129152 0 265 -45.848910
3.130901 0 265 -45.848910
3.132223 0 265 -45.848910
3.134616 0 265 -45.848910
3.156031 0 265 -45.848910
3.157901 0 265 -45.848910
3.159666 0 265 -45.848910
3.161054 0 265 -45.848910
3.162456 0 265 -45.848910
3.164770 0 265 -45.848910
3.166113 0 265 -45.848910
3.167865 0 265 -45.848910
3.169032 0 265 -45.848910
3.170774 0 265 -45.848910
3.172814 0 265 -45.848910
3.174942 0 265 -45.848910
3.176279 0 265 -45.848910
3.208582 0 265 -45.848910
3.210939 0 265 -45.848910
3.212603 0 265 -45.848910
3.215334 0 265 -45.848910
3.217014 0 265 -45.848910
3.218390 0 265 -45.848910
3.237907 0 265 -45.848910
3.240042 0 265 -45.848910
3.243129 0 265 -45.848910
3.245845 0 265 -45.848910
3.247022 0 265 -45.848910
3.248381 0 265 -45.848910
3.252187 0 265 -45.848910
3.281854 0 265 -45.848910
3.284072 0 265 -45.848910
3.286006 0 265 -45.848910
3.287161 0 265 -45.848910
3.288701 0 265 -45.848910
3.290300 0 265 -45.848910
3.292977 0 265 -45.848910
3.295155 0 265 -45.848910
3.296578 0 265 -45.848910
3.318542 0 265 -45.848910
3.321176 0 265 -45.848910
3.323085 0 265 -45.848910
3.326007 0 265 -45.848910
3.327695 0 265 -45.848910
3.328872 0 265 -45.848910
3.331819 0 265 -45.848910
3.333245 0 265 -45.848910
3.335281 0 265 -45.848910
3.336844 0 265 -45.848910
3.338676 0 265 -45.848910
3.340225 0 265 -45.848910
3.341836 0 265 -45.848910
3.344938 0 265 -45.848910
3.347154 0 265 -45.848910
3.348556 0 265 -45.848910
3.350060 0 265 -45.848910
3.353317 0 265 -45.848910
3.355378 0 265 -45.848910
3.357054 0 265 -45.848910
3.358426 0 265 -45.848910
3.359933 0 265 -45.848910
3.361081 0 265 -45.848910
3.363035 0 265 -45.848910
3.365640 0 265 -45.848910
3.366838 0 265 -45.848910
3.368567 0 265 -45.848910
3.370399 0 265 -45.848910
3.371776 0 265 -45.848910
3.374794 0 265 -45.848910
3.376153 0 265 -45.848910
3.377386 0 265 -45.848910
3.378656 0 265 -45.848910
3.380207 0 265 -45.848910
3.381365 0 265 -45.848910
3.384035 0 265 -45.848910
3.386002 0 265 -45.848910
3.387173 0 265 -45.848910
3.389254 0 265 -45.848910
3.390695 0 265 -45.848910
3.392484 0 265 -45.848910
3.400684 0 265 -45.848910
3.404735 0 265 -45.848910
3.406164 0 265 -45.848910
3.407394 0 265 -45.848910
3.408671 0 265 -45.848910
3.410207 0 265 -45.848910
3.411362 0 265 -45.848910
3.413340 0 265 -45.848910
3.416504 0 265 -45.848910
3.417862 0 265 -45.848910
3.419027 0 265 -45.848910
3.420471 0 265 -45.848910
3.421856 0 265 -45.848910
3.424118 0 265 -45.848910
3.426056 0 265 -45.848910
3.427205 0 265 -45.848910
3.428568 0 265 -45.848910
3.430349 0 265 -45.848910
3.431738 0 265 -45.848910
3.433087 0 265 -45.848910
3.437892 0 265 -45.848910
3.439081 0 265 -45.848910
3.440515 0 265 -45.848910
3.442187 0 265 -45.848910
3.444594 0 265 -45.848910
3.447145 0 265 -45.848910
3.448538 0 265 -45.848910
3.450033 0 265 -45.848910
3.451163 0 265 -45.848910
3.453125 0 265 -45.848910
3.455286 0 265 -45.848910
3.458607 0 265 -45.848910
3.460166 0 265 -45.848910
3.461333 0 265 -45.848910
3.462913 0 265 -45.848910
3.465010 0 265 -45.848910
3.466920 0 265 -45.848910
3.468312 0 265 -45.848910
3.469824 0 265 -45.848910
3.470983 0 265 -45.848910
3.472301 0 265 -45.848910
3.474925 0 265 -45.848910
3.476264 0 265 -45.848910
3.505873 0 265 -45.848910
3.508129 0 265 -45.848910
3.509937 0 265 -45.848910
3.511103 0 265 -45.848910
3.513041 0 265 -45.848910
3.515161 0 265 -45.848910
3.516588 0 265 -45.848910
3.537238 0 265 -45.848910
3.540355 0 265 -45.848910
3.542036 0 265 -45.848910
3.544642 0 265 -45.848910
3.546217 0 265 -45.848910
3.550015 0 265 -45.848910
3.551179 0 265 -45.848910
3.552585 0 265 -45.848910
3.554915 0 265 -45.848910
3.556253 0 265 -45.848910
3.558272 0 265 -45.848910
3.559802 0 265 -45.848910
3.561226 0 265 -45.848910
3.562796 0 265 -45.848910
3.564933 0 265 -45.848910
3.566274 0 265 -45.848910
3.571751 0 265 -45.848910
3.601266 0 265 -45.848910
3.605652 0 265 -45.848910
3.607152 0 265 -45.848910
3.608520 0 265 -45.848910
3.610028 0 265 -45.848910
3.611170 0 265 -45.848910
3.614585 0 265 -45.848910
3.615919 0 265 -45.848910
3.617064 0 265 -45.848910
3.618425 0 265 -45.848910
3.619944 0 265 -45.848910
3.621091 0 265 -45.848910
3.622498 0 265 -45.848910
3.625052 0 265 -45.848910
3.626474 0 265 -45.848910
3.627858 0 265 -45.848910
3.629033 0 265 -45.848910
3.630695 0 265 -45.848910
3.632134 0 265 -45.848910
3.635195 0 265 -45.848910
3.636761 0 265 -45.848910
3.638595 0 265 -45.848910
3.640136 0 265 -45.848910
3.641288 0 265 -45.848910
3.644495 0 265 -45.848910
3.646131 0 265 -45.848910
3.647377 0 265 -45.848910
3.649882 0 265 -45.848910
3.651083 0 265 -45.848910
3.652517 0 265 -45.848910
3.678985 0 265 -45.848910
3.680914 0 265 -45.848910
3.682559 0 265 -45.848910
3.685029 0 265 -45.848910
3.686445 0 265 -45.848910
3.687807 0 265 -45.848910
3.689196 0 265 -45.848910
3.691221 0 265 -45.848910
3.692786 0 265 -45.848910
3.694933 0 265 -45.848910
3.696277 0 265 -45.848910
3.697720 0 265 -45.848910
3.698868 0 265 -45.848910
3.701983 0 265 -45.848910
3.705019 0 265 -45.848910
3.706691 0 265 -45.848910
3.708143 0 265 -45.848910
3.709320 0 265 -45.848910
3.711885 0 265 -45.848910
3.713325 0 265 -45.848910
3.715392 0 265 -45.848910
3.717071 0 265 -45.848910
3.718444 0 265 -45.848910
3.719955 0 265 -45.848910
3.721382 0 265 -45.848910
3.724075 0 265 -45.848910
3.725782 0 265 -45.848910
3.727153 0 265 -45.848910
3.728532 0 265 -45.848910
3.730539 0 265 -45.848910
3.733651 0 265 -45.848910
3.735718 0 265 -45.848910
3.737038 0 265 -45.848910
3.739117 0 265 -45.848910
3.740564 0 265 -45.848910
3.742157 0 265 -45.848910
3.744764 0 265 -45.848910
3.746463 0 265 -45.848910
3.747831 0 265 -45.848910
3.749276 0 265 -45.848910
3.750732 0 265 -45.848910
3.755885 0 265 -45.848910
3.757048 0 265 -45.848910
3.758442 0 265 -45.848910
3.759950 0 265 -45.848910
3.761088 0 265 -45.848910
3.763344 0 265 -45.848910
3.765405 0 265 -45.848910
3.767622 0 265 -45.848910
3.768697 0 265 -45.848910
3.770227 0 265 -45.848910
3.771373 0 265 -45.848910
3.791820 0 265 -45.848910
3.799318 0 265 -45.848910
3.800869 0 265 -45.848910
3.825233 0 265 -45.848910
3.828180 0 265 -45.848910
3.830244 0 265 -45.848910
3.832847 0 265 -45.848910
3.834977 0 265 -45.848910
3.856171 0 265 -45.848910
3.858157 0 265 -45.848910
3.859954 0 265 -45.848910
3.861406 0 265 -45.848910
3.863381 0 265 -45.848910
3.865655 0 265 -45.848910
3.866850 0 265 -45.848910
3.868695 0 265 -45.848910
3.870234 0 265 -45.848910
3.871379 0 265 -45.848910
3.873291 0 265 -45.848910
3.875320 0 265 -45.848910
3.877041 0 265 -45.848910
3.878714 0 265 -45.848910
3.880266 0 265 -45.848910
3.881844 0 265 -45.848910
3.883281 0 265 -45.848910
3.885322 0 265 -45.848910
3.886713 0 265 -45.848910
3.888092 0 265 -45.848910
3.890418 0 265 -45.848910
3.892128 0 265 -45.848910
3.894105 0 265 -45.848910
3.895801 0 265 -45.848910
3.896952 0 265 -45.848910
3.898594 0 265 -45.848910
3.900396 0 265 -45.848910
3.901777 0 265 -45.848910
3.905008 0 265 -45.848910
3.907746 0 265 -45.848910
3.926395 0 265 -45.848910
3.928565 0 265 -45.848910
3.931081 0 265 -45.848910
3.932494 0 265 -45.848910
3.934994 0 265 -45.848910
3.936595 0 265 -45.848910
3.957623 0 265 -45.848910
3.959191 0 265 -45.848910
3.960777 0 265 -45.848910
3.963109 0 265 -45.848910
3.965743 0 265 -45.848910
3.966914 0 265 -45.848910
3.985781 0 265 -45.848910
3.988131 0 265 -45.848910
3.990166 0 265 -45.848910
3.991335 0 265 -45.848910
3.993127 0 265 -45.848910
3.995742 0 265 -45.848910
3.996900 0 265 -45.848910
3.998966 0 265 -45.848910
4.000410 0 265 -45.848910
4.001791 0 265 -45.848910
4.003125 0 265 -45.848910
4.005275 0 265 -45.848910
4.011112 0 265 -45.848910
4.012557 0 265 -45.848910
4.014857 0 265 -45.848910
4.016185 0 265 -45.848910
4.017617 0 265 -45.848910
4.019752 0 265 -45.848910
4.020917 0 265 -45.848910
4.022218 0 265 -45.848910
4.024996 0 265 -45.848910
4.026447 0 265 -45.848910
4.027810 0 265 -45.848910
4.029769 0 265 -45.848910
4.031018 0 265 -45.848910
4.032319 0 265 -45.848910
4.035133 0 265 -45.848910
4.036720 0 265 -45.848910
4.038511 0 265 -45.848910
4.040958 0 265 -45.848910
4.042304 0 265 -45.848910
4.044702 0 265 -45.848910
4.046453 0 265 -45.848910
4.047805 0 265 -45.848910
4.049886 0 265 -45.848910
4.051052 0 265 -45.848910
4.052450 0 265 -45.848910
4.055006 0 265 -45.848910
